method,reliability_type,class,bin,bin_lower,bin_upper,raw_count,target_weight,target_weight_fraction,mean_predicted_probability,observed_frequency,absolute_gap,ece_contribution
true_logit_target_weighted_vector_T,multiclass,argmax,7,0.4666666666666667,0.5333333333333333,2168,6234.706340000001,1.5308209179709907e-05,0.5168655763314661,0.18204546262559013,0.334820113705876,5.125496338183806e-06
true_logit_target_weighted_vector_T,multiclass,argmax,8,0.5333333333333333,0.6,4313,14886.436484000002,3.6550989126063195e-05,0.568746642675301,0.5923331721112256,0.023586529435924652,8.621109809340514e-07
true_logit_target_weighted_vector_T,multiclass,argmax,9,0.6,0.6666666666666666,4572,11892.071412000001,2.9198859870430424e-05,0.6379582041767904,0.5642167884418688,0.07374141573492154,2.1531652646911274e-06
true_logit_target_weighted_vector_T,multiclass,argmax,10,0.6666666666666666,0.7333333333333333,5209,13342.412680000001,3.2759914120903704e-05,0.7009412386028314,0.6707474195738937,0.030193819028937696,9.89146918370107e-07
true_logit_target_weighted_vector_T,multiclass,argmax,11,0.7333333333333333,0.8,6209,11902.388876,2.92241925627022e-05,0.7705283729662582,0.8328066726157267,0.062278299649468516,1.8200330214337367e-06
true_logit_target_weighted_vector_T,multiclass,argmax,12,0.8,0.8666666666666667,8118,27638.190432000003,6.786064610088963e-05,0.8421752271980951,0.8595898474052457,0.017414620207150566,1.1817673788588458e-06
true_logit_target_weighted_vector_T,multiclass,argmax,13,0.8666666666666667,0.9333333333333333,13266,36852.89677199999,9.048571366458805e-05,0.9063782686825655,0.9197078042926554,0.013329535610089871,1.2061325424965221e-06
true_logit_target_weighted_vector_T,multiclass,argmax,14,0.9333333333333333,1.0,564133,407155872.8983527,0.9996986114786862,0.9999820430452093,0.9999792298647793,2.8131804300501884e-06,2.8123325697601867e-06
true_logit_target_weighted_vector_T,binary_class,acceptor,0,0.0,0.06666666666666667,557800,407182886.8903408,0.9997649395168617,7.82626727818613e-06,9.484681513739752e-06,1.6584142355536226e-06,1.6580244079021699e-06
true_logit_target_weighted_vector_T,binary_class,acceptor,1,0.06666666666666667,0.13333333333333333,1601,11361.095216,2.7895142544456947e-05,0.08667362917881088,0.13986327636460502,0.05318964718579414,1.4837327901371008e-06
true_logit_target_weighted_vector_T,binary_class,acceptor,2,0.13333333333333333,0.2,1229,15055.801556,3.696683484653904e-05,0.16034088525701626,0.08050052967900581,0.07984035557801045,2.951445238741264e-06
true_logit_target_weighted_vector_T,binary_class,acceptor,3,0.2,0.26666666666666666,1043,5109.706340000001,1.2545972373673963e-05,0.22796034012052951,0.20314278961088003,0.024817550509649483,3.113603030763206e-07
true_logit_target_weighted_vector_T,binary_class,acceptor,4,0.26666666666666666,0.3333333333333333,1035,5101.706340000001,1.252632980083104e-05,0.3045898676278196,0.20189323558752695,0.10269663204029264,1.2864118823712975e-06
